SampleN,Beta1,SE1,Beta2,SE2,Beta3,SE3,Beta4,SE4
1,0.854687,0.008385,0.811818,0.009385,0.829426,0.008936,0.760514,0.013758
2,0.857742,0.008362,0.811800,0.009385,0.828780,0.008851,0.766147,0.013798
3,0.854961,0.008454,0.811835,0.009386,0.832453,0.008984,0.765775,0.013677
4,0.853887,0.008474,0.811748,0.009385,0.830533,0.008947,0.761162,0.013724
5,0.857304,0.008421,0.811838,0.009385,0.826578,0.009016,0.761955,0.013735
6,0.855657,0.008455,0.811805,0.009385,0.825446,0.009029,0.767632,0.013823
7,0.857774,0.008415,0.811783,0.009385,0.824109,0.008969,0.759453,0.014012
8,0.855098,0.008382,0.811706,0.009385,0.829347,0.008973,0.764060,0.013718
9,0.857166,0.008425,0.811854,0.009385,0.831717,0.008902,0.759043,0.013751
10,0.853655,0.008474,0.811805,0.009385,0.828132,0.008975,0.762542,0.013696
11,0.855009,0.008419,0.811775,0.009385,0.825258,0.009008,0.754570,0.014001
12,0.854268,0.008418,0.811825,0.009385,0.830047,0.008896,0.761583,0.013672
13,0.851784,0.008476,0.811788,0.009384,0.823748,0.009033,0.765138,0.013714
14,0.857869,0.008386,0.811800,0.009385,0.820528,0.009128,0.763766,0.013869
15,0.856936,0.008399,0.811819,0.009385,0.824251,0.009083,0.759395,0.013906
16,0.851917,0.008492,0.811747,0.009386,0.827088,0.009029,0.767700,0.013813
17,0.852550,0.008478,0.811761,0.009386,0.814075,0.009135,0.762523,0.013862
18,0.850276,0.008534,0.811740,0.009385,0.826221,0.008920,0.769443,0.013752
19,0.855266,0.008407,0.811694,0.009385,0.832638,0.008860,0.769481,0.013676
20,0.856385,0.008357,0.811782,0.009386,0.828077,0.008959,0.765810,0.013604
21,0.851098,0.008494,0.811800,0.009386,0.827143,0.008967,0.771828,0.013830
22,0.857840,0.008386,0.811748,0.009385,0.822305,0.009001,0.773194,0.013665
23,0.854056,0.008430,0.811801,0.009385,0.827824,0.008932,0.762167,0.013711
24,0.853372,0.008423,0.811842,0.009385,0.829311,0.009004,0.769353,0.013639
25,0.852334,0.008439,0.811796,0.009385,0.827840,0.009074,0.774030,0.013603
26,0.857909,0.008359,0.811757,0.009385,0.829522,0.008922,0.761075,0.013737
27,0.856756,0.008324,0.811824,0.009385,0.831496,0.008982,0.761665,0.013872
28,0.852352,0.008483,0.811721,0.009386,0.828608,0.008951,0.757905,0.013826
29,0.856659,0.008441,0.811829,0.009385,0.823964,0.009041,0.771469,0.013747
30,0.858013,0.008378,0.811772,0.009385,0.833166,0.008870,0.771426,0.013512
31,0.858078,0.008404,0.811841,0.009385,0.831723,0.008914,0.770568,0.013780
32,0.858058,0.008366,0.811824,0.009385,0.830763,0.008988,0.762894,0.013947
33,0.852989,0.008537,0.811821,0.009385,0.825302,0.008944,0.769004,0.013684
34,0.849484,0.008453,0.811740,0.009385,0.820276,0.009102,0.774335,0.013645
35,0.853856,0.008441,0.811765,0.009384,0.822624,0.009133,0.769787,0.013691
36,0.861318,0.008389,0.811778,0.009386,0.817524,0.009047,0.781949,0.013569
37,0.854430,0.008415,0.811780,0.009385,0.826898,0.008844,0.754634,0.014089
38,0.853674,0.008476,0.811786,0.009385,0.832263,0.008829,0.760814,0.013751
39,0.853425,0.008462,0.811765,0.009385,0.826990,0.009031,0.767369,0.013741
40,0.858551,0.008311,0.811821,0.009384,0.827981,0.008959,0.769609,0.013737
41,0.855969,0.008435,0.811760,0.009385,0.832854,0.008917,0.763316,0.013746
42,0.853338,0.008386,0.811831,0.009385,0.818835,0.009280,0.776381,0.013562
43,0.853745,0.008450,0.811884,0.009386,0.824729,0.009031,0.766886,0.013691
44,0.853724,0.008448,0.811772,0.009385,0.833916,0.008991,0.771869,0.013652
45,0.858649,0.008388,0.811826,0.009385,0.824135,0.009182,0.754691,0.014055
46,0.850826,0.008490,0.811779,0.009384,0.830104,0.008912,0.761498,0.013788
47,0.850254,0.008494,0.811759,0.009386,0.824480,0.008938,0.767819,0.013681
