SampleN,Beta1,SE1,Beta2,SE2,Beta3,SE3,Beta4,Se4
1,0.980201,0.003098,0.967443,0.005066,0.970778,0.004599,0.963173,0.006523
2,0.982602,0.003053,0.967397,0.005068,0.966869,0.004567,0.963606,0.006633
3,0.983739,0.003052,0.967428,0.005066,0.970462,0.004586,0.960530,0.006619
4,0.981963,0.003082,0.967411,0.005068,0.969461,0.004570,0.967461,0.006469
5,0.985200,0.003023,0.967419,0.005067,0.971281,0.004521,0.956076,0.006644
6,0.980948,0.003037,0.967406,0.005069,0.966550,0.004593,0.956557,0.006825
7,0.983047,0.003023,0.967382,0.005067,0.973058,0.004529,0.963098,0.006534
8,0.982226,0.003073,0.967312,0.005071,0.969572,0.004550,0.961419,0.006517
9,0.982105,0.002963,0.967405,0.005067,0.967535,0.004524,0.955757,0.006788
10,0.983705,0.003068,0.967380,0.005069,0.973952,0.004480,0.957091,0.006711
11,0.978242,0.003170,0.967410,0.005069,0.971643,0.004673,0.958357,0.006606
12,0.985847,0.003145,0.967400,0.005067,0.974200,0.004435,0.962467,0.006608
13,0.979876,0.003138,0.967348,0.005068,0.969801,0.004448,0.960676,0.006687
14,0.982978,0.003000,0.967395,0.005067,0.972202,0.004575,0.954957,0.006635
15,0.981556,0.003046,0.967398,0.005067,0.968700,0.004631,0.963651,0.006544
16,0.986577,0.003134,0.967323,0.005070,0.973100,0.004413,0.954931,0.006754
17,0.978789,0.003230,0.967377,0.005069,0.968382,0.004552,0.959420,0.006729
18,0.980339,0.003183,0.967348,0.005069,0.972103,0.004555,0.957637,0.006399
19,0.978681,0.003109,0.967281,0.005069,0.968960,0.004410,0.961819,0.006497
20,0.980126,0.003070,0.967392,0.005068,0.969438,0.004474,0.963353,0.006460
21,0.982766,0.003075,0.967398,0.005068,0.972142,0.004299,0.961395,0.006616
22,0.984644,0.003101,0.967366,0.005068,0.968818,0.004502,0.954226,0.006654
23,0.983656,0.003164,0.967405,0.005067,0.970013,0.004446,0.964795,0.006631
24,0.985392,0.003032,0.967410,0.005066,0.972872,0.004441,0.962277,0.006600
25,0.982868,0.003166,0.967386,0.005068,0.971586,0.004609,0.960244,0.006540
26,0.979754,0.003105,0.967340,0.005069,0.970130,0.004602,0.954421,0.006575
27,0.980681,0.003142,0.967398,0.005067,0.970297,0.004368,0.960514,0.006731
28,0.978097,0.003141,0.967304,0.005071,0.972129,0.004406,0.962600,0.006625
29,0.983065,0.002992,0.967440,0.005066,0.969751,0.004529,0.965814,0.006505
30,0.981485,0.003055,0.967314,0.005067,0.970062,0.004360,0.968781,0.006447
31,0.981791,0.003106,0.967429,0.005066,0.973548,0.004376,0.954502,0.006550
32,0.981931,0.003100,0.967445,0.005066,0.977455,0.004479,0.959211,0.006721
33,0.983843,0.003013,0.967393,0.005067,0.973822,0.004451,0.964002,0.006335
34,0.979168,0.003085,0.967334,0.005069,0.970559,0.004532,0.963413,0.006666
35,0.978606,0.003143,0.967370,0.005069,0.968325,0.004617,0.960395,0.006467
36,0.984882,0.002919,0.967428,0.005066,0.964068,0.004593,0.967062,0.006266
37,0.980218,0.003109,0.967356,0.005068,0.964475,0.004627,0.968496,0.006626
38,0.983089,0.003011,0.967314,0.005069,0.973555,0.004396,0.956999,0.006747
39,0.982162,0.003144,0.967419,0.005067,0.972569,0.004526,0.968211,0.006395
40,0.981634,0.003086,0.967405,0.005067,0.969890,0.004690,0.959396,0.006534
41,0.980889,0.003111,0.967345,0.005068,0.972577,0.004397,0.961297,0.006607
42,0.979310,0.003110,0.967341,0.005068,0.967077,0.004513,0.964984,0.006531
43,0.985506,0.003157,0.967513,0.005065,0.969475,0.004550,0.967418,0.006447
44,0.977932,0.003173,0.967347,0.005069,0.973493,0.004420,0.971992,0.006505
45,0.982574,0.003001,0.967466,0.005067,0.967182,0.004465,0.967078,0.006692
46,0.981157,0.003151,0.967349,0.005068,0.972231,0.004391,0.960843,0.006515
47,0.982943,0.003058,0.967426,0.005068,0.973553,0.004479,0.965126,0.006491
48,0.981462,0.003102,0.967486,0.005065,0.973980,0.004307,0.964762,0.006510
49,0.978485,0.003114,0.967343,0.005067,0.970896,0.004513,0.958975,0.006515
50,0.980444,0.003208,0.967448,0.005065,0.969745,0.004474,0.964028,0.006581
51,0.984409,0.003099,0.967460,0.005065,0.969101,0.004671,0.960211,0.006756
52,0.983820,0.003048,0.967296,0.005071,0.971510,0.004510,0.956158,0.006706
53,0.979295,0.003036,0.967443,0.005066,0.971000,0.004454,0.969468,0.006301
54,0.981142,0.003050,0.967376,0.005068,0.973824,0.004413,0.962580,0.006679
55,0.983585,0.003040,0.967398,0.005067,0.970024,0.004330,0.961432,0.006503
56,0.980604,0.003149,0.967400,0.005067,0.970334,0.004520,0.959912,0.006564
57,0.978854,0.003287,0.967357,0.005068,0.971447,0.004437,0.960878,0.006504
58,0.981524,0.003142,0.967332,0.005069,0.968309,0.004345,0.962956,0.006594
59,0.978253,0.003313,0.967338,0.005067,0.973754,0.004454,0.966440,0.006404
60,0.983179,0.003034,0.967397,0.005068,0.969201,0.004463,0.966060,0.006390
61,0.982347,0.003116,0.967308,0.005068,0.974645,0.004542,0.961101,0.006645
