SampleN,Beta1,SE1,Beta2,SE2,Beta3,SE3,Beta4,SE4
1,0.978287,0.003049,0.960361,0.004760,0.965538,0.004359,0.949459,0.006502
2,0.981242,0.003024,0.960324,0.004761,0.959265,0.004480,0.952920,0.006538
3,0.979835,0.003017,0.960400,0.004760,0.964295,0.004428,0.951719,0.006432
4,0.977735,0.003052,0.960309,0.004763,0.965300,0.004393,0.956737,0.006441
5,0.980255,0.003002,0.960360,0.004760,0.963831,0.004283,0.949225,0.006553
6,0.980381,0.003008,0.960404,0.004761,0.960457,0.004439,0.949138,0.006582
7,0.980049,0.002977,0.960297,0.004762,0.963394,0.004390,0.951486,0.006563
8,0.980125,0.002960,0.960249,0.004763,0.963170,0.004344,0.953873,0.006445
9,0.981020,0.002957,0.960375,0.004760,0.964965,0.004269,0.950563,0.006605
10,0.980279,0.003011,0.960359,0.004762,0.963343,0.004291,0.951500,0.006568
11,0.978776,0.003080,0.960307,0.004762,0.964733,0.004383,0.955419,0.006570
12,0.979652,0.003015,0.960339,0.004761,0.965243,0.004231,0.955818,0.006481
13,0.979992,0.003022,0.960335,0.004761,0.966533,0.004320,0.945909,0.006523
14,0.981800,0.002907,0.960339,0.004762,0.967491,0.004419,0.960265,0.006459
15,0.980970,0.002948,0.960351,0.004761,0.962917,0.004390,0.953921,0.006490
16,0.980502,0.003020,0.960321,0.004762,0.961309,0.004383,0.952360,0.006535
17,0.976508,0.003100,0.960331,0.004762,0.957109,0.004524,0.946487,0.006591
18,0.979251,0.003042,0.960324,0.004762,0.963156,0.004288,0.953621,0.006358
19,0.978278,0.003048,0.960221,0.004764,0.965078,0.004220,0.954738,0.006390
20,0.978910,0.002975,0.960342,0.004761,0.966431,0.004353,0.951415,0.006490
21,0.979250,0.003017,0.960404,0.004761,0.961955,0.004316,0.951297,0.006615
22,0.981059,0.002995,0.960335,0.004762,0.962755,0.004456,0.959211,0.006396
23,0.978551,0.003054,0.960333,0.004761,0.963950,0.004294,0.955718,0.006392
24,0.976836,0.003019,0.960387,0.004761,0.965505,0.004314,0.957351,0.006528
25,0.980605,0.002962,0.960385,0.004761,0.961876,0.004377,0.950671,0.006344
26,0.977314,0.003046,0.960291,0.004762,0.962209,0.004400,0.955376,0.006449
27,0.978980,0.002988,0.960344,0.004760,0.963769,0.004151,0.948582,0.006598
28,0.980696,0.003068,0.960278,0.004763,0.964600,0.004321,0.951318,0.006551
29,0.982558,0.002990,0.960378,0.004760,0.964881,0.004334,0.954527,0.006423
30,0.979451,0.002958,0.960294,0.004762,0.964809,0.004316,0.957541,0.006297
31,0.980205,0.002972,0.960347,0.004759,0.964660,0.004225,0.945897,0.006535
32,0.978991,0.002973,0.960387,0.004761,0.966821,0.004315,0.947615,0.006572
33,0.980720,0.002977,0.960375,0.004761,0.962584,0.004393,0.954827,0.006397
