SampleN,Beta1,SE1,Beta2,SE2,Beta3,SE3,Beta4,Se4
1,0.8727213,0.0119835,0.8170524,0.0131582,0.838343,0.0125876,0.7758675,0.0194376
2,0.870792,0.011923,0.8170484,0.0131572,0.8508892,0.0126543,0.7634295,0.0193348
3,0.8760852,0.0121024,0.8170559,0.0131586,0.8367606,0.0126547,0.7585758,0.0189775
4,0.8659934,0.0120876,0.8169969,0.0131572,0.8324933,0.0125438,0.7652359,0.0191593
5,0.870573,0.011986,0.8170789,0.0131578,0.8194857,0.0124574,0.7684237,0.0192544
6,0.8722767,0.0120252,0.8170764,0.0131585,0.8262499,0.0126765,0.7781573,0.0195163
7,0.8694756,0.0119048,0.8170514,0.0131574,0.8206631,0.0125068,0.7696193,0.0196255
8,0.8709161,0.0119536,0.81696,0.0131574,0.8372823,0.0126159,0.7743298,0.0193418
9,0.8686329,0.0118959,0.8170827,0.0131581,0.8379594,0.0124771,0.7570323,0.0192194
10,0.875651,0.012111,0.8170417,0.0131579,0.838155,0.0126479,0.7760268,0.0193309
11,0.875892,0.0120729,0.8169964,0.0131579,0.8322325,0.0126342,0.7676634,0.0197514
12,0.8751178,0.0120692,0.8171029,0.0131572,0.83763,0.012567,0.7714097,0.0192498
13,0.862243,0.012013,0.8170899,0.0131573,0.8282531,0.0126874,0.7760599,0.0192447
14,0.8762474,0.0119625,0.8171031,0.0131588,0.8297845,0.0129252,0.7679998,0.0194022
15,0.8672932,0.0118999,0.8170666,0.0131575,0.828769,0.012843,0.7620715,0.0195069
16,0.86995,0.012117,0.8170341,0.0131591,0.8263745,0.0125628,0.7924599,0.0196891
17,0.8663203,0.0120976,0.8170395,0.0131589,0.8207214,0.0128135,0.7743083,0.0194589
18,0.8638566,0.0121272,0.8170464,0.0131588,0.8369952,0.0126545,0.7668878,0.0192215
19,0.8691559,0.0119242,0.8169418,0.0131577,0.8377645,0.0124384,0.7722188,0.0191112
20,0.8725684,0.0119134,0.8170268,0.0131581,0.8343465,0.0125529,0.7569451,0.0190333
21,0.8618782,0.0120772,0.8170627,0.0131594,0.8228154,0.0124726,0.7968255,0.0197373
22,0.8710242,0.0119114,0.8170276,0.0131578,0.825538,0.012627,0.7879188,0.0192028
23,0.8676521,0.0119407,0.817065,0.013158,0.8350497,0.0126314,0.77875,0.019447
24,0.8647978,0.0119387,0.817096,0.013158,0.8364922,0.0126869,0.7733442,0.0191788
